XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Contributor,AlternateTitle,Title,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=68206f847bf24e8,1.1.1.6.0,scpa-020985-0002,00:45:49,00:37:20,Side B,DCMR,"Allen, Sara",2013-06-05,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Hi-Fi Recording (HF Sony); Length: 90; Oxide: Type I; Noise reduction: none; Equalization: Type I EQ
UMDM,,,,,1.1.1.7.0,,,,,,,,,,,,,"George C. Wolfe - Public Theatre - Interviewers: Jackson R. Bryer and Richard A. Davison, December 1, 2001",,"George C. Wolfe interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on December 1, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2002-12-01,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,Interview begins mid-conversation; tape hiss; cyclical clicking throughout recording; end of Side A cut off; occasional slight pops. ,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=32bd9fde98b74d2,1.1.1.7.0,scpa-019386-0001,01:00:54,01:00:46,Side A,DCMR,"Allen, Sara",2013-03-12,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: D120; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a7c0b60e38874d8,1.1.1.7.0,scpa-019386-0002,01:00:56,00:28:14,Side B,DCMR,"Allen, Sara",2013-03-12,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: D120; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.8.0,,,,,,,,,,,,,"Susan Stroman - The New 42nd St. Studios - Interviewers: Jackson R. Bryer and Richard A. Davison, July 18, 2002",,"Susan Stroman interviewed by University of Maryland professor Jackson R. Bryer Richard A. Davison on July 18, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2002-07-18,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Side A is cut off at end; cyclical clicking throughout recording; general tape hiss; brief disruption at 00:19:13,Could you add the Cassette Info?; OK. Done - HB,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c50d0ca07c1d43a,1.1.1.8.0,scpa-019601-0001,00:46:08,00:45:57,Side A,DCMR,"Allen, Sara",2013-03-26,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90 ; Oxide: Type II; Noise reduction: none; Equalization: High bias
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f131c67b359b4d3,1.1.1.8.0,scpa-019601-0002,00:46:02,00:34:37,Side B,DCMR,"Allen, Sara",2013-03-26,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90 ; Oxide: Type II; Noise reduction: none; Equalization: High bias
UMDM,,,,,1.1.1.9.0,,,,,,,,,,,,,"Pat Carroll - Harwich Port, MA - Interviewer: Jackson R. Bryer, July 30, 2002",,"Pat Carroll interviewed by University of Maryland professor Jackson R. Bryer on July 30, 2002.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2002-07-30,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Massachusetts,Harwich Port,,Interview begins without introductions; general tape hiss; occasional pops; cyclical clicking throughout recording; conversation is interrupted occasionally when interviewer switches off the recorder; Side A is cut off at end; Side B is blank so no derivative exists.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0740974a4b024cf,1.1.1.9.0,scpa-020856-0001,00:46:05,00:45:53,"Side A; Side B is 00:45:53, but is blank so no derivatives of it exist",DCMR,"Ostrye, Sarah",2013-05-30,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMDM,,,,,1.1.1.10.0,,,,,,,,,,,,,"Jason Robert Brown - NY, NY - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), January 20, 2004",,"Jason Robert Brown interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on January 20, 2004. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2004-01-20,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss; interview takes place at a restaurant, much background chatter but conversation is completely intelligible; end of Side A of first tape is cut off; beginning and end of Side B of first tape are cut off. ",,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=fee4dda839584ae,1.1.1.10.0,scpa-019545-0001,00:46:32,00:46:22,Side A,DCMR,"Cartier, Eric",2013-03-22,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=09541f9f499a4d4,1.1.1.10.0,scpa-019545-0002,00:47:21,00:46:15,Side B,DCMR,"Cartier, Eric",2013-03-22,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=568d5ed488904fd,1.1.1.10.0,scpa-019545-0003,00:46:32,00:18:57,"Side A; Side B of the second tape is 00:47:21, but is blank so no derivatives of it exist",DCMR,"Cartier, Eric",2013-03-22,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.11.0,,,,,,,,,,,,,"Kathleen Marshall - NYC - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), January 27, 2004",,"Kathleen Marshall interviewed by University of Maryland professor Jackson R. Bryer Richard A. Davison on January 27, 2004.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2004-01-27,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,Interview begins without introductions; tape hiss; cyclical clicking throughout recording; end of Side A on first tape is cut off; beginning and end of Side B of first tape is cut off; beginning of Side A of second tape is cut off.,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4c8ef9a3be86427,1.1.1.11.0,scpa-019962-0001,00:46:26,00:46:15,Side A,DCMR,"Ostrye, Sarah",2013-04-10,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=cbbc2d368167440,1.1.1.11.0,scpa-019962-0002,00:46:17,00:46:12,Side B,DCMR,"Ostrye, Sarah",2013-04-10,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC Type I
