XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,TopicalSubject,GeographicalSubject,PersonalSubject,CorpSubject,MediaType,FormType,Form,Format,Dimensions,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,DigitizationNotes,Department,TopicalScheme,GeographicalScheme,PersonalScheme,CorpScheme
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9c3b12968471496,Traver 12,scpa-024148-0001,0:17:53,0:17:53,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2873bede4516412,Traver 12,scpa-024148-0002, 00:14:31,0:14:31,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 13,,,,,,,,,,"University of Maryland Glee Club spring concert, April 1959",Full Track Glee Club April 1959,,,,,,,"University of Maryland Glee Club spring concert, April 1959.",Music & Performing Arts,circa,1959-04,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance: Spring Concert 1959,,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2f82fe79c553423,Traver 13,scpa-024149-0001,0:36:40,0:36:40,George Blood Audio Video,,12/12/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 14,,,,,,,,,,"University of Maryland Chorus performance on WMUC, undated",WMUC,,,,,,,"University of Maryland Chorus performance on WMUC, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,flutter and hiss on both files; poor recording overall,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8a9ad521d09049a,Traver 14,scpa-024150-0001,0:55:02,0:55:22,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c14ea790a8bd460,Traver 14,scpa-024150-0002,0:55:25,0:55:25,George Blood Audio Video,,12/12/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 15,,,,,,,,,,"University of Maryland Chorus, two choruses from ""Hora Novissima"" at Washington Cathedral, February 15, 1976",University of Maryland Chorus,,,,,,,"University of Maryland Chorus performance: two choruses from ""Hora Novissima"" - Urbs Sion unica - Pars mea, Rex meus - Horatio Parker, at Washington Cathedral, on February 15, 1976, at 4:00 PM.",Music & Performing Arts,,2/15/76,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance:Two Choruses From ""Hora Novissima"" - Urbs Sion unica - Pars mea, Rex meus - Horatio Parker. At Washington Cathedral, February 15 1976, 4pm",,,,,North America,United States of America,District of Columbia,Washington,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a62f5bdf05d54f2,Traver 15,scpa-024151-0001,0:09:53,0:09:53,George Blood Audio Video,,12/12/13,Studer A-80RC,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,stereo,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 16,,,,,,,,,,"Choral performance, undated",Unknown,,,,,,,"Choral performance, undated",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss; end cut off of first file; at 00:16:05 of second file [including preservation master] content is reversed but was corrected,yes,,Special Collections in Performing Arts,,,,
