XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,OriginalBroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs,
UMDM,WMUC-Reel-193,,,,,,,,,,,"Blur at WMUC, tape 1, 4/28/92","Blur performance at WMUC, tape 1, 4/28/92",,"WMUC (Radio station : College Park, Md.)","Blur interview with recordings played at WMUC, tape 1 of 2. University of Maryland, April 28, 1992.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1992-04-28,1992-04-28,7,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-193,bcast-020011-0001,00:32:52,00:32:16,Noticeable pops in the 26th minute; sound is fine but not always strong in both channels,,,stereo,DCMR,"Borchers, Henry",2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=aedb93893e3f41f,
UMDM,WMUC-Reel-194,,,,,,,,,,,"Blur at WMUC, tape 2, 4/28/92","Blur performance at WMUC, tape 2, 4/28/92",,"WMUC (Radio station : College Park, Md.)","Blur interview at WMUC, tape 2 of 2, plus WMUC drops. Live recording of The Sex Pistols at opening, studio recording from College Park band Velocity Girl from 00:05:39 - 00:09:26, new Blur single ""Pop Scene from 00:12:15 - 00:15:21. University of Maryland, April 28, 1992.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1992-04-28,1992-04-28,7,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-194,bcast-020015-0001,00:33:37,00:19:02,Contains multiple station IDs from Blur; audio from 00:09:30 to 00:11:43 is right channel only.,,,stereo,DCMR,"Borchers, Henry",2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ec9bd4094c844d4,
UMDM,WMUC-Reel-195,,,,,,,,,,,"Marlene Posaner interview with The Clash, 9/28/79","Marlene Posaner interview with The Clash, 9/28/79",,"WMUC (Radio station : College Park, Md.)","Marlene Posaner telephone interview with drummer Nicky Headon of The Clash, opens with mix of song fragments, University of Maryland, September 28, 1979.",FM,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1979-09-28,1979-09-28,7,"1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,Has dried splices that might pop out during playback,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-195,bcast-020019-0001,00:11:06,00:06:52,,15 ips,,stereo,DCMR,"Borchers, Henry",2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=1a1aabea9bc445b,
UMDM,WMUC-Reel-196,,,,,,,,,,,"Untouchables at 9:30 Club, interview plus live cuts, 4/26/89","Untouchables at 9:30 Club, interview plus live cuts, 4/26/89 (date might not be right)",,"WMUC (Radio station : College Park, Md.)","Untouchables at 9:30 Club, interview plus live cuts; contains a station identification and the songs Shama Lama, Agent 00 Soul, Mandigo, Sout Together, Free Yourself, and Stepping Stone. April 26, 1989.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1989-04-26,1989-04-26,7,"1/4"" open reel tape",7.5,instrumental and vocal music,North America,United States of America,"Washington, D.C.",,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-196,bcast-020021-0001,00:30:14 ,00:29:34,"Removed tones from derivative at 00:00:11 - 00:00:12, 00:00:23-00:00:23, 00:00:32 - 00:00:37, 00:05:32 - 00:05:33, 00:05:36 - 00:05:37, 00:11:08 - 00:11:09,  00:20:04 - 00:20:05, 00:20:20 - 00:20:21, and 00:24:30 - 00:24:31. 10k-15k high pitched hum audible in right channel during live recordings.","Untouchables; 26 April 1989 9:30 Club; Interview Plus Live Cuts: Time 28:00; Note: Last track, ""Stepping Stone"" Must be faded - Stops cold at end of tape; Station ID, Shama Lama, Agent 00 Soul, Mandigo, Sout Together, Free Yourself, Stepping Stone",Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=05a6bc9f9d66452,
UMDM,WMUC-Reel-197,,,,,,,,,,,"RadioThon Band at WMUC-FM, 4/30/83","RadioThon Band at WMUC-FM, 4/30/83",,"WMUC (Radio station : College Park, Md.)","RadioThon Band on WMUC-FM features the band The Faith playing live for the station. University of Maryland, April 30, 1983.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1983-04-30,1983-04-30,7,,7.5,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-197,bcast-020023-0001,00:51:04,00:44:11,Right channel is noticeably louder,,,stereo,DCMR,"Borchers, Henry",2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=542dc9c35f38430,
UMDM,WMUC-Reel-198,,,,,,,,,,,"Phone interview with Billy Robertson of Polyrock, an American post-punk/New Wave band, 1/21/81","Phone interview with Billy Robertson of Polyrock, with intro ""Go West,"" from Polyrock LP, 1/21/81",,"WMUC (Radio station : College Park, Md.)","Telephone interview with Billy Robertson of Polyrock, with intro ""Go West,"" from Polyrock LP. University of Maryland, January 21, 1981.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1981-01-21,1981-01-21,7,"1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-198,bcast-020066-0001,00:24:20,00:22:52,,Squeaking at beginning of interview is from reel machine on which the recording was made.,Half,stereo,DCMR,"Borchers, Henry",2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a08af81a20da4d1,
